,artist_id,debut_date,artist_type,artist_gender,artist_nationality
0,672375,2013.06.13,그룹,남성,대한민국
1,3865,2001,솔로,남성,대한민국
2,896096,2015.09.14,솔로,남성,대한민국
3,995169,2010,그룹,여성,대한민국
4,1692,2001,솔로,남성,대한민국
5,2758756,2010,솔로,남성,대한민국
6,785589,2014.09.18,그룹,남성,대한민국
7,2866523,2010,솔로,여성,대한민국
8,655051,2012,솔로,여성,대한민국
9,228069,2007.08.05,그룹,여성,대한민국
10,569233,2012,그룹,남성,대한민국
11,108363,2004,그룹,남성,대한민국
12,905701,2015.10.20,그룹,여성,대한민국
13,217764,2007,그룹,여성,대한민국
14,8530,2002,솔로,여성,대한민국
15,261143,2008.09.18,솔로,여성,대한민국
16,108356,2003.10.23,그룹,남성,
17,171127,2005,솔로,여성,대한민국
18,550442,2011,그룹,남성,대한민국
19,226490,2007,그룹,남성,대한민국
20,100007,1999.01.13,그룹,남성,대한민국
21,757777,2010,솔로,남성,대한민국
22,994005,2010,솔로,여성,대한민국
23,45995,2004,솔로,남성,대한민국
24,175139,2007,솔로,남성,대한민국
25,481481,2010,그룹,여성,대한민국
26,173424,2005,솔로,남성,대한민국
27,105803,2003,그룹,여성,대한민국
28,861430,2015.05.20,그룹,남성,대한민국
29,1191,1999,솔로,남성,대한민국
30,412000,2009,그룹,여성,대한민국
31,672392,2011.04.23,솔로,남성,대한민국
32,5675,1991,솔로,여성,대한민국
33,11538,2004,솔로,남성,대한민국
34,2561475,2010,솔로,남성,대한민국
35,742773,2016.09.08,솔로,남성,대한민국
36,473181,2010,그룹,여성,대한민국
37,2137482,2018.05.02,그룹,여성,대한민국
38,980594,2016.06.18,솔로,남성,대한민국
39,1088,1999,솔로,남성,대한민국
40,403841,2011,솔로,남성,대한민국
41,176393,2005,솔로,여성,미국
42,2112493,2010,솔로,남성,대한민국
43,775197,2014.08.12,그룹,남성,대한민국
44,858125,2015.08.25,솔로,여성,대한민국
45,436981,2000,그룹,남성,대한민국
46,550445,2011,그룹,남성,대한민국
47,198094,2006,그룹,남성,대한민국
48,3055146,2020,그룹,여성,대한민국
49,756531,2010,솔로,여성,대한민국
50,3305,2001,솔로,남성,대한민국
51,39256,2003,솔로,남성,대한민국
52,41894,2003.08.28,솔로,여성,대한민국
53,225993,2007.06.07,솔로,남성,대한민국
54,674710,2012,솔로,남성,대한민국
55,735094,2014,솔로,여성,대한민국
56,722098,2014.08.08,솔로,여성,대한민국
57,203912,2000,솔로,여성,대한민국
58,160080,2002,그룹,남성,대한민국
59,839732,2015.03.10,그룹,남성,대한민국
60,1118,1999,솔로,여성,대한민국
61,10575,2001,솔로,여성,대한민국
62,648551,2010,솔로,남성,대한민국
63,602056,2010,솔로,남성,대한민국
64,573812,2010,솔로,여성,대한민국
65,995173,2010,솔로,여성,대한민국
66,2274,1990,솔로,여성,미국
67,100004,1994,그룹,혼성,대한민국
68,1203,1998,솔로,여성,미국
69,990909,2010,그룹,여성,대한민국
70,1130,1994,솔로,남성,대한민국
71,28801,2010,솔로,남성,대한민국
72,2622030,2019.02.12,그룹,여성,대한민국
73,2165,2000.08.25,솔로,여성,대한민국
74,468244,2010,솔로,남성,대한민국
75,181694,2006,그룹,여성,대한민국
76,2087273,2010,솔로,남성,대한민국
77,792765,2014.12.17,솔로,여성,대한민국
78,1580,2006,솔로,남성,미국
79,752425,2010,솔로,남성,
80,150529,2000,솔로,여성,
81,623251,2010,솔로,남성,대한민국
82,108794,2004.04.12,그룹,남성,대한민국
83,406712,2009,그룹,여성,대한민국
84,100022,1998,그룹,혼성,대한민국
85,222128,2007.03.29,그룹,여성,대한민국
86,1732,2014,솔로,남성,대한민국
87,2744750,2010,솔로,남성,대한민국
88,597451,2011,솔로,여성,미국
89,686920,2012,그룹,여성,대한민국
90,253606,2000,솔로,남성,대한민국
91,174997,2005.11.11,그룹,여성,대한민국
92,2297933,2010,솔로,남성,대한민국
93,417985,2009,그룹,여성,대한민국
94,14801,2003,솔로,남성,대한민국
95,108358,2004,그룹,남성,대한민국
96,541364,2000,솔로,여성,영국
97,1142,1995,솔로,남성,대한민국
98,57528,2008.12.16,솔로,남성,대한민국
99,449401,2010,솔로,여성,대한민국
100,1654,2001,솔로,여성,미국
101,750053,2014,그룹,여성,대한민국
102,467880,2010,그룹,남성,대한민국
103,221072,2007.03.13,솔로,남성,대한민국
104,227595,2007,솔로,여성,대한민국
105,241227,2000,솔로,남성,대한민국
106,10577,2002,솔로,남성,대한민국
107,33513,2003,솔로,남성,대한민국
108,220287,2007.03.25,솔로,여성,대한민국
109,673033,2011,솔로,남성,대한민국
110,402526,2010.09.13,솔로,남성,대한민국
111,108316,2004.01.14,그룹,남성,대한민국
112,181679,2006,그룹,여성,대한민국
113,22938,2013,솔로,여성,대한민국
114,103289,2002,그룹,남성,대한민국
115,259822,2008.09.04,그룹,남성,대한민국
116,2879819,2020.07.11,그룹,혼성,대한민국
117,751611,2010,솔로,여성,대한민국
118,428501,2009.09.05,그룹,여성,대한민국
119,214784,2008,솔로,남성,대한민국
120,205880,2006,솔로,남성,대한민국
