age,year,mon,day,classCd,startDay,endDay
2000,2004,11,20041122%5E20041128,CL0000,20041122,20041128
2000,2004,12,20041129%5E20041205,CL0000,20041129,20041205
2000,2004,12,20041206%5E20041212,CL0000,20041206,20041212
2000,2004,12,20041213%5E20041219,CL0000,20041213,20041219
2000,2004,12,20041220%5E20041226,CL0000,20041220,20041226
2000,2004,12,20041227%5E20050102,CL0000,20041227,20050102
2000,2005,1,20050103%5E20050109,CL0000,20050103,20050109
2000,2005,1,20050110%5E20050116,CL0000,20050110,20050116
2000,2005,1,20050117%5E20050123,CL0000,20050117,20050123
2000,2005,1,20050124%5E20050130,CL0000,20050124,20050130
2000,2005,2,20050131%5E20050206,CL0000,20050131,20050206
2000,2005,2,20050207%5E20050213,CL0000,20050207,20050213
2000,2005,2,20050214%5E20050220,CL0000,20050214,20050220
2000,2005,2,20050221%5E20050227,CL0000,20050221,20050227
2000,2005,3,20050228%5E20050306,CL0000,20050228,20050306
2000,2005,3,20050307%5E20050313,CL0000,20050307,20050313
2000,2005,3,20050314%5E20050320,CL0000,20050314,20050320
2000,2005,3,20050321%5E20050327,CL0000,20050321,20050327
2000,2005,3,20050328%5E20050403,CL0000,20050328,20050403
2000,2005,4,20050404%5E20050410,CL0000,20050404,20050410
2000,2005,4,20050411%5E20050417,CL0000,20050411,20050417
2000,2005,4,20050418%5E20050424,CL0000,20050418,20050424
2000,2005,4,20050425%5E20050501,CL0000,20050425,20050501
2000,2005,5,20050502%5E20050508,CL0000,20050502,20050508
2000,2005,5,20050509%5E20050515,CL0000,20050509,20050515
2000,2005,5,20050516%5E20050522,CL0000,20050516,20050522
2000,2005,5,20050523%5E20050529,CL0000,20050523,20050529
2000,2005,6,20050530%5E20050605,CL0000,20050530,20050605
2000,2005,6,20050606%5E20050612,CL0000,20050606,20050612
2000,2005,6,20050613%5E20050619,CL0000,20050613,20050619
2000,2005,6,20050620%5E20050626,CL0000,20050620,20050626
2000,2005,6,20050627%5E20050703,CL0000,20050627,20050703
2000,2005,7,20050704%5E20050710,CL0000,20050704,20050710
2000,2005,7,20050711%5E20050717,CL0000,20050711,20050717
2000,2005,7,20050718%5E20050724,CL0000,20050718,20050724
2000,2005,7,20050725%5E20050731,CL0000,20050725,20050731
2000,2005,8,20050801%5E20050807,CL0000,20050801,20050807
2000,2005,8,20050808%5E20050814,CL0000,20050808,20050814
2000,2005,8,20050815%5E20050821,CL0000,20050815,20050821
2000,2005,8,20050822%5E20050828,CL0000,20050822,20050828
2000,2005,9,20050829%5E20050904,CL0000,20050829,20050904
2000,2005,9,20050905%5E20050911,CL0000,20050905,20050911
2000,2005,9,20050912%5E20050918,CL0000,20050912,20050918
2000,2005,9,20050919%5E20050925,CL0000,20050919,20050925
2000,2005,9,20050926%5E20051002,CL0000,20050926,20051002
2000,2005,10,20051003%5E20051009,CL0000,20051003,20051009
2000,2005,10,20051010%5E20051016,CL0000,20051010,20051016
2000,2005,10,20051017%5E20051023,CL0000,20051017,20051023
2000,2005,10,20051024%5E20051030,CL0000,20051024,20051030
2000,2005,11,20051031%5E20051106,CL0000,20051031,20051106
2000,2005,11,20051107%5E20051113,CL0000,20051107,20051113
2000,2005,11,20051114%5E20051120,CL0000,20051114,20051120
2000,2005,11,20051121%5E20051127,CL0000,20051121,20051127
2000,2005,12,20051128%5E20051204,CL0000,20051128,20051204
2000,2005,12,20051205%5E20051211,CL0000,20051205,20051211
2000,2005,12,20051212%5E20051218,CL0000,20051212,20051218
2000,2005,12,20051219%5E20051225,CL0000,20051219,20051225
2000,2005,12,20051226%5E20060101,CL0000,20051226,20060101
2000,2006,1,20060102%5E20060108,CL0000,20060102,20060108
2000,2006,1,20060109%5E20060115,CL0000,20060109,20060115
2000,2006,1,20060116%5E20060122,CL0000,20060116,20060122
2000,2006,1,20060123%5E20060129,CL0000,20060123,20060129
2000,2006,2,20060130%5E20060205,CL0000,20060130,20060205
2000,2006,2,20060206%5E20060212,CL0000,20060206,20060212
2000,2006,2,20060213%5E20060219,CL0000,20060213,20060219
2000,2006,2,20060220%5E20060226,CL0000,20060220,20060226
2000,2006,3,20060227%5E20060305,CL0000,20060227,20060305
2000,2006,3,20060306%5E20060312,CL0000,20060306,20060312
2000,2006,3,20060313%5E20060319,CL0000,20060313,20060319
2000,2006,3,20060320%5E20060326,CL0000,20060320,20060326
2000,2006,3,20060327%5E20060402,CL0000,20060327,20060402
2000,2006,4,20060403%5E20060409,CL0000,20060403,20060409
2000,2006,4,20060410%5E20060416,CL0000,20060410,20060416
2000,2006,4,20060417%5E20060423,CL0000,20060417,20060423
2000,2006,4,20060424%5E20060430,CL0000,20060424,20060430
2000,2006,5,20060501%5E20060507,CL0000,20060501,20060507
2000,2006,5,20060508%5E20060514,CL0000,20060508,20060514
2000,2006,5,20060515%5E20060521,CL0000,20060515,20060521
2000,2006,5,20060522%5E20060528,CL0000,20060522,20060528
2000,2006,6,20060529%5E20060604,CL0000,20060529,20060604
2000,2006,6,20060605%5E20060611,CL0000,20060605,20060611
2000,2006,6,20060612%5E20060618,CL0000,20060612,20060618
2000,2006,6,20060619%5E20060625,CL0000,20060619,20060625
2000,2006,6,20060626%5E20060702,CL0000,20060626,20060702
2000,2006,7,20060703%5E20060709,CL0000,20060703,20060709
2000,2006,7,20060710%5E20060716,CL0000,20060710,20060716
2000,2006,7,20060717%5E20060723,CL0000,20060717,20060723
2000,2006,7,20060724%5E20060730,CL0000,20060724,20060730
2000,2006,8,20060731%5E20060806,CL0000,20060731,20060806
2000,2006,8,20060807%5E20060813,CL0000,20060807,20060813
2000,2006,8,20060814%5E20060820,CL0000,20060814,20060820
2000,2006,8,20060821%5E20060827,CL0000,20060821,20060827
2000,2006,8,20060828%5E20060903,CL0000,20060828,20060903
2000,2006,9,20060904%5E20060910,CL0000,20060904,20060910
2000,2006,9,20060911%5E20060917,CL0000,20060911,20060917
2000,2006,9,20060918%5E20060924,CL0000,20060918,20060924
2000,2006,9,20060925%5E20061001,CL0000,20060925,20061001
2000,2006,10,20061002%5E20061008,CL0000,20061002,20061008
2000,2006,10,20061009%5E20061015,CL0000,20061009,20061015
2000,2006,10,20061016%5E20061022,CL0000,20061016,20061022
2000,2006,10,20061023%5E20061029,CL0000,20061023,20061029
2000,2006,11,20061030%5E20061105,CL0000,20061030,20061105
2000,2006,11,20061106%5E20061112,CL0000,20061106,20061112
2000,2006,11,20061113%5E20061119,CL0000,20061113,20061119
2000,2006,11,20061120%5E20061126,CL0000,20061120,20061126
2000,2006,11,20061127%5E20061203,CL0000,20061127,20061203
2000,2006,12,20061204%5E20061210,CL0000,20061204,20061210
2000,2006,12,20061211%5E20061217,CL0000,20061211,20061217
2000,2006,12,20061218%5E20061224,CL0000,20061218,20061224
2000,2006,12,20061225%5E20061231,CL0000,20061225,20061231
2000,2007,1,20070101%5E20070107,CL0000,20070101,20070107
2000,2007,1,20070108%5E20070114,CL0000,20070108,20070114
2000,2007,1,20070115%5E20070121,CL0000,20070115,20070121
2000,2007,1,20070122%5E20070128,CL0000,20070122,20070128
2000,2007,2,20070129%5E20070204,CL0000,20070129,20070204
2000,2007,2,20070205%5E20070211,CL0000,20070205,20070211
2000,2007,2,20070212%5E20070218,CL0000,20070212,20070218
2000,2007,2,20070219%5E20070225,CL0000,20070219,20070225
2000,2007,3,20070226%5E20070304,CL0000,20070226,20070304
2000,2007,3,20070305%5E20070311,CL0000,20070305,20070311
2000,2007,3,20070312%5E20070318,CL0000,20070312,20070318
2000,2007,3,20070319%5E20070325,CL0000,20070319,20070325
2000,2007,3,20070326%5E20070401,CL0000,20070326,20070401
2000,2007,4,20070402%5E20070408,CL0000,20070402,20070408
2000,2007,4,20070409%5E20070415,CL0000,20070409,20070415
2000,2007,4,20070416%5E20070422,CL0000,20070416,20070422
2000,2007,4,20070423%5E20070429,CL0000,20070423,20070429
2000,2007,5,20070430%5E20070506,CL0000,20070430,20070506
2000,2007,5,20070507%5E20070513,CL0000,20070507,20070513
2000,2007,5,20070514%5E20070520,CL0000,20070514,20070520
2000,2007,5,20070521%5E20070527,CL0000,20070521,20070527
2000,2007,5,20070528%5E20070603,CL0000,20070528,20070603
2000,2007,6,20070604%5E20070610,CL0000,20070604,20070610
2000,2007,6,20070611%5E20070617,CL0000,20070611,20070617
2000,2007,6,20070618%5E20070624,CL0000,20070618,20070624
2000,2007,6,20070625%5E20070701,CL0000,20070625,20070701
2000,2007,7,20070702%5E20070708,CL0000,20070702,20070708
2000,2007,7,20070709%5E20070714,CL0000,20070709,20070714
2000,2007,7,20070715%5E20070721,CL0000,20070715,20070721
2000,2007,7,20070722%5E20070728,CL0000,20070722,20070728
2000,2007,8,20070729%5E20070804,CL0000,20070729,20070804
2000,2007,8,20070805%5E20070811,CL0000,20070805,20070811
2000,2007,8,20070812%5E20070818,CL0000,20070812,20070818
2000,2007,8,20070819%5E20070825,CL0000,20070819,20070825
2000,2007,8,20070826%5E20070901,CL0000,20070826,20070901
2000,2007,9,20070902%5E20070908,CL0000,20070902,20070908
2000,2007,9,20070909%5E20070915,CL0000,20070909,20070915
2000,2007,9,20070916%5E20070922,CL0000,20070916,20070922
2000,2007,9,20070923%5E20070929,CL0000,20070923,20070929
2000,2007,10,20070930%5E20071006,CL0000,20070930,20071006
2000,2007,10,20071007%5E20071013,CL0000,20071007,20071013
