,song_name,song_id,artist_name,artist_id,alb_name,alb_id,song_likes,debut_date,artist_type,artist_gender,artist_nationality
0,Dynamite,32872978.0,방탄소년단,672375.0,Dynamite (DayTime Version),10479150.0,440195,2013.06.13,그룹,남성,대한민국
1,Life Goes On,33077234.0,방탄소년단,672375.0,BE,10521521.0,240484,2013.06.13,그룹,남성,대한민국
2,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),31737197.0,방탄소년단,672375.0,MAP OF THE SOUL : PERSONA,10273641.0,438387,2013.06.13,그룹,남성,대한민국
3,ON,32399830.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,264622,2013.06.13,그룹,남성,대한민국
4,봄날,30244931.0,방탄소년단,672375.0,YOU NEVER WALK ALONE,10037969.0,562613,2013.06.13,그룹,남성,대한민국
5,IDOL,31266290.0,방탄소년단,672375.0,LOVE YOURSELF 結 'Answer',10197480.0,319530,2013.06.13,그룹,남성,대한민국
6,Butter,33507137.0,방탄소년단,672375.0,Butter,10612483.0,276838,2013.06.13,그룹,남성,대한민국
7,Permission to Dance,33666269.0,방탄소년단,672375.0,Butter / Permission to Dance,10648182.0,211840,2013.06.13,그룹,남성,대한민국
8,RUN,7953785.0,방탄소년단,672375.0,화양연화 pt.2,2653551.0,189929,2013.06.13,그룹,남성,대한민국
9,FAKE LOVE,31085237.0,방탄소년단,672375.0,LOVE YOURSELF 轉 'Tear',10168559.0,335211,2013.06.13,그룹,남성,대한민국
10,DNA,30637982.0,방탄소년단,672375.0,LOVE YOURSELF 承 'Her',10097112.0,405511,2013.06.13,그룹,남성,대한민국
11,00:00 (Zero O’Clock),32399832.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,187102,2013.06.13,그룹,남성,대한민국
12,Black Swan,32323969.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,202864,2013.06.13,그룹,남성,대한민국
13,친구,32399834.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,183782,2013.06.13,그룹,남성,대한민국
14,Filter,32399827.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,159668,2013.06.13,그룹,남성,대한민국
15,I'm Fine,31266289.0,방탄소년단,672375.0,LOVE YOURSELF 結 'Answer',10197480.0,226084,2013.06.13,그룹,남성,대한민국
16,Moon,32399835.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,161541,2013.06.13,그룹,남성,대한민국
17,We are Bulletproof : the Eternal,32399837.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,148050,2013.06.13,그룹,남성,대한민국
18,시차,32399828.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,142835,2013.06.13,그룹,남성,대한민국
19,I NEED U,5681153.0,방탄소년단,672375.0,화양연화 pt.1,2316261.0,233198,2013.06.13,그룹,남성,대한민국
20,피 땀 눈물,30029173.0,방탄소년단,672375.0,WINGS,10004707.0,303368,2013.06.13,그룹,남성,대한민국
21,소우주 (Mikrokosmos),31737198.0,방탄소년단,672375.0,MAP OF THE SOUL : PERSONA,10273641.0,261690,2013.06.13,그룹,남성,대한민국
22,Euphoria,31266282.0,방탄소년단,672375.0,LOVE YOURSELF 結 'Answer',10197480.0,239537,2013.06.13,그룹,남성,대한민국
23,Inner Child,32399833.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,145408,2013.06.13,그룹,남성,대한민국
24,전하지 못한 진심 (Feat. Steve Aoki),31085238.0,방탄소년단,672375.0,LOVE YOURSELF 轉 'Tear',10168559.0,267184,2013.06.13,그룹,남성,대한민국
25,Answer : Love Myself,31266291.0,방탄소년단,672375.0,LOVE YOURSELF 結 'Answer',10197480.0,227870,2013.06.13,그룹,남성,대한민국
26,Louder than bombs,32399829.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,129806,2013.06.13,그룹,남성,대한민국
27,Make It Right,31737199.0,방탄소년단,672375.0,MAP OF THE SOUL : PERSONA,10273641.0,196000,2013.06.13,그룹,남성,대한민국
28,욱 (UGH!),32399831.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,130778,2013.06.13,그룹,남성,대한민국
29,Dionysus,31737202.0,방탄소년단,672375.0,MAP OF THE SOUL : PERSONA,10273641.0,165341,2013.06.13,그룹,남성,대한민국
30,Interlude : Shadow,32399826.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,126507,2013.06.13,그룹,남성,대한민국
31,Outro : Ego,32399838.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,121984,2013.06.13,그룹,남성,대한민국
32,Blue & Grey,33077236.0,방탄소년단,672375.0,BE,10521521.0,121815,2013.06.13,그룹,남성,대한민국
33,Epiphany,31266288.0,방탄소년단,672375.0,LOVE YOURSELF 結 'Answer',10197480.0,178990,2013.06.13,그룹,남성,대한민국
34,Butterfly,7953786.0,방탄소년단,672375.0,화양연화 pt.2,2653551.0,170763,2013.06.13,그룹,남성,대한민국
35,내 방을 여행하는 법,33077235.0,방탄소년단,672375.0,BE,10521521.0,114844,2013.06.13,그룹,남성,대한민국
36,고민보다 Go,30637988.0,방탄소년단,672375.0,LOVE YOURSELF 承 'Her',10097112.0,230466,2013.06.13,그룹,남성,대한민국
37,Anpanman,31085244.0,방탄소년단,672375.0,LOVE YOURSELF 轉 'Tear',10168559.0,191414,2013.06.13,그룹,남성,대한민국
38,HOME,31737200.0,방탄소년단,672375.0,MAP OF THE SOUL : PERSONA,10273641.0,158573,2013.06.13,그룹,남성,대한민국
39,Respect,32399836.0,방탄소년단,672375.0,MAP OF THE SOUL : 7,10377346.0,118653,2013.06.13,그룹,남성,대한민국
40,That That (prod. & feat. SUGA of BTS),34997078.0,싸이 (PSY),3865.0,싸다9,10937474.0,115915,2001,솔로,남성,대한민국
41,I LUV IT,30403589.0,싸이 (PSY),3865.0,PSY 8th 4X2=8,10060647.0,80955,2001,솔로,남성,대한민국
42,New Face,30403590.0,싸이 (PSY),3865.0,PSY 8th 4X2=8,10060647.0,98502,2001,솔로,남성,대한민국
43,DADDY (Feat. CL of 2NE1),7956304.0,싸이 (PSY),3865.0,칠집싸이다,2653861.0,65743,2001,솔로,남성,대한민국
44,나팔바지,7956303.0,싸이 (PSY),3865.0,칠집싸이다,2653861.0,68548,2001,솔로,남성,대한민국
45,환희,891991.0,싸이 (PSY),3865.0,Remake & Mix 18번,305676.0,9548,2001,솔로,남성,대한민국
46,마지막 장면 (Feat. 이성경),30403591.0,싸이 (PSY),3865.0,PSY 8th 4X2=8,10060647.0,38416,2001,솔로,남성,대한민국
47,Dream (Feat. XIA of JYJ),7956305.0,싸이 (PSY),3865.0,칠집싸이다,2653861.0,43630,2001,솔로,남성,대한민국
48,팩트폭행 (Feat. G-DRAGON),30403595.0,싸이 (PSY),3865.0,PSY 8th 4X2=8,10060647.0,20813,2001,솔로,남성,대한민국
49,Celeb,34997079.0,싸이 (PSY),3865.0,싸다9,10937474.0,19142,2001,솔로,남성,대한민국
50,I Remember You (Feat. Zion.T),7956302.0,싸이 (PSY),3865.0,칠집싸이다,2653861.0,35848,2001,솔로,남성,대한민국
51,"BOMB (Feat. B.I, BOBBY)",30403593.0,싸이 (PSY),3865.0,PSY 8th 4X2=8,10060647.0,16226,2001,솔로,남성,대한민국
52,LOVE (Feat. 태양),30403592.0,싸이 (PSY),3865.0,PSY 8th 4X2=8,10060647.0,15950,2001,솔로,남성,대한민국
53,인생극장 - A형,891990.0,싸이 (PSY),3865.0,Remake & Mix 18번,305676.0,646,2001,솔로,남성,대한민국
54,감동이야 (feat. 성시경),34997080.0,싸이 (PSY),3865.0,싸다9,10937474.0,15759,2001,솔로,남성,대한민국
55,흐린 기억 속의 그대,891999.0,싸이 (PSY),3865.0,Remake & Mix 18번,305676.0,1302,2001,솔로,남성,대한민국
56,언젠가는,891995.0,싸이 (PSY),3865.0,Remake & Mix 18번,305676.0,1761,2001,솔로,남성,대한민국
57,사랑했어요,891992.0,싸이 (PSY),3865.0,Remake & Mix 18번,305676.0,454,2001,솔로,남성,대한민국
58,비오니까,1616546.0,싸이 (PSY),3865.0,2006 올나잇스탠드 LIVE & DVD,349283.0,672,2001,솔로,남성,대한민국
59,아버지,891993.0,싸이 (PSY),3865.0,Remake & Mix 18번,305676.0,38211,2001,솔로,남성,대한민국
60,골목길 (Feat. 조PD),891996.0,싸이 (PSY),3865.0,Remake & Mix 18번,305676.0,372,2001,솔로,남성,대한민국
61,지나오다,30699142.0,닐로(Nilo),896096.0,About You,10106853.0,247526,2015.09.14,솔로,남성,대한민국
62,미운 날,31629490.0,닐로(Nilo),896096.0,29,10254316.0,42703,2015.09.14,솔로,남성,대한민국
63,넋두리,9642570.0,닐로(Nilo),896096.0,넋두리,2710553.0,120606,2015.09.14,솔로,남성,대한민국
64,How You Like That,32720013.0,BLACKPINK,995169.0,How You Like That,10451566.0,194060,2010,그룹,여성,대한민국
65,Lovesick Girls,32961718.0,BLACKPINK,995169.0,THE ALBUM,10498032.0,218287,2010,그룹,여성,대한민국
66,Ice Cream (with Selena Gomez),32889003.0,BLACKPINK,995169.0,Ice Cream (with Selena Gomez),10482568.0,90582,2010,그룹,여성,대한민국
67,불장난,30069773.0,BLACKPINK,995169.0,SQUARE TWO,10011491.0,196573,2010,그룹,여성,대한민국
68,뚜두뚜두 (DDU-DU DDU-DU),31131273.0,BLACKPINK,995169.0,SQUARE UP,10176415.0,249084,2010,그룹,여성,대한민국
69,Kill This Love,31717822.0,BLACKPINK,995169.0,KILL THIS LOVE,10270288.0,146398,2010,그룹,여성,대한민국
70,마지막처럼,30481578.0,BLACKPINK,995169.0,마지막처럼,10072696.0,233988,2010,그룹,여성,대한민국
71,바람만바람만,1497527.0,김종국,1692.0,S.101,332407.0,29805,2001,솔로,남성,대한민국
